event_name,event_date,event_location,fighter_a,fighter_b,fighter_a_url,fighter_b_url,weight_class
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",Namsrai Batbayar,Andre Lima,http://www.ufcstats.com/fighter-details/e1f8beeb6d2d871a,http://www.ufcstats.com/fighter-details/b1f21ce050035d58,Flyweight
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",Jack Jenkins,Sean Woodson,http://www.ufcstats.com/fighter-details/a9da3158dd2c2b5a,http://www.ufcstats.com/fighter-details/4682bc59d5f55145,Featherweight
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",Rei Tsuruya,Kevin Borjas,http://www.ufcstats.com/fighter-details/2f43a3e82661fa99,http://www.ufcstats.com/fighter-details/34b96d52db1d26e6,Flyweight
UFC Fight Night: Nurmagomedov vs. Song,"August 29, 2026","Shanghai, China",Xiong Jingnan,Julia Polastri,http://www.ufcstats.com/fighter-details/2cdb479a0ef0ee1d,http://www.ufcstats.com/fighter-details/abb68e3c7ca128f2,Women's Strawweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Dan Hooker,Salahdine Parnasse,http://www.ufcstats.com/fighter-details/193b9d1858bc4df3,http://www.ufcstats.com/fighter-details/b3cb9dfccff3be76,Lightweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Fares Ziam,Axel Sola,http://www.ufcstats.com/fighter-details/1e4f273069fb9e85,http://www.ufcstats.com/fighter-details/1d2d98ddd05b38fb,Lightweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Michael Page,Nursulton Ruziboev,http://www.ufcstats.com/fighter-details/a67d071163962af8,http://www.ufcstats.com/fighter-details/49d2a08964c5eb11,Middleweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Morgan Charriere,Felipe Lima,http://www.ufcstats.com/fighter-details/5b03b61f9d90125e,http://www.ufcstats.com/fighter-details/9256f591b30c073e,Featherweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Losene Keita,Muhammad Naimov,http://www.ufcstats.com/fighter-details/5b43d68174b6e2ab,http://www.ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Featherweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Mario Pinto,Ryan Spann,http://www.ufcstats.com/fighter-details/39d309957c5c210d,http://www.ufcstats.com/fighter-details/a67f5afa8d6a1b80,Heavyweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Kurtis Campbell,Trevor Peek,http://www.ufcstats.com/fighter-details/9d51798e61f2e0c7,http://www.ufcstats.com/fighter-details/0bc697c5936a2d0a,Featherweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Oumar Sy,Modestas Bukauskas,http://www.ufcstats.com/fighter-details/46e2011d92463b7e,http://www.ufcstats.com/fighter-details/476fe566d2df676e,Light Heavyweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Nathaniel Wood,Mairon Santos,http://www.ufcstats.com/fighter-details/329e403448756217,http://www.ufcstats.com/fighter-details/480779d7f9a424d3,Featherweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Nora Cornolle,Klaudia Sygula,http://www.ufcstats.com/fighter-details/f2b3f4ef3f780168,http://www.ufcstats.com/fighter-details/9f5e3c20ce40b344,Women's Bantamweight
UFC Fight Night: Hooker vs. Parnasse,"September 05, 2026","Paris, Ile-de-France, France",Matthieu Duclos,Luis Felipe Dias,http://www.ufcstats.com/fighter-details/ec322adbabbfa6e7,http://www.ufcstats.com/fighter-details/33a86e839ad202d8,Middleweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Yair Rodriguez,Jean Silva,http://www.ufcstats.com/fighter-details/cbf5e6f231b55443,http://www.ufcstats.com/fighter-details/52ef95b5860fb28c,Featherweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Brandon Moreno,Joseph Morales,http://www.ufcstats.com/fighter-details/792be9a24df82ed6,http://www.ufcstats.com/fighter-details/2fe9032955c2e013,Flyweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Manon Fiorot,Alexa Grasso,http://www.ufcstats.com/fighter-details/34ff304266360297,http://www.ufcstats.com/fighter-details/e8b731feff72294b,Women's Flyweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Waldo Cortes Acosta,Curtis Blaydes,http://www.ufcstats.com/fighter-details/fc08099550072fe4,http://www.ufcstats.com/fighter-details/fa6796c55d6c5440,Heavyweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",David Martinez,Dan Ige,http://www.ufcstats.com/fighter-details/9a97acbfd5a08bfa,http://www.ufcstats.com/fighter-details/82a5152216251682,Bantamweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Tim Elliott,Edgar Chairez,http://www.ufcstats.com/fighter-details/c96d9178c9ed9e62,http://www.ufcstats.com/fighter-details/5ef94841c4bc3f86,Flyweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Ignacio Bahamondes,Muslim Salikhov,http://www.ufcstats.com/fighter-details/e4a47b07044ddd72,http://www.ufcstats.com/fighter-details/447f9858ae78f921,Welterweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Kelvin Gastelum,Yousri Belgaroui,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,http://www.ufcstats.com/fighter-details/7674b836ce0698a0,Middleweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",JJ Aldrich,Regina Tarin,http://www.ufcstats.com/fighter-details/6fd953151d981979,http://www.ufcstats.com/fighter-details/9f5609dba6584ab2,Women's Flyweight
Noche UFC: Rodriguez vs. Silva,"September 12, 2026","Glendale, Arizona, USA",Tommy McMillen,Marwan Rahiki,http://www.ufcstats.com/fighter-details/6b0a6def604de298,http://www.ufcstats.com/fighter-details/6eedb757f13b9978,Featherweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Joshua Van,Alexandre Pantoja,http://www.ufcstats.com/fighter-details/17e97649403ba428,http://www.ufcstats.com/fighter-details/a0f0004aadf10b71,Flyweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Arman Tsarukyan,Mauricio Ruffy,http://www.ufcstats.com/fighter-details/eae48ff31db420c2,http://www.ufcstats.com/fighter-details/9c393e836a852f30,Lightweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Patricio Pitbull,Dooho Choi,http://www.ufcstats.com/fighter-details/98a58c26c5b1ed17,http://www.ufcstats.com/fighter-details/e93b04e308913c2e,Featherweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Renato Moicano,Brian Ortega,http://www.ufcstats.com/fighter-details/b6452706b373eea1,http://www.ufcstats.com/fighter-details/def8166ff24bd237,Lightweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Alonzo Menifield,Iwo Baraniewski,http://www.ufcstats.com/fighter-details/a495f599e787614f,http://www.ufcstats.com/fighter-details/1c23ec2f1b71be40,Light Heavyweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Gable Steveson,Sean Sharaf,http://www.ufcstats.com/fighter-details/f7e856a73c96048e,http://www.ufcstats.com/fighter-details/0f3a990526c5e706,Heavyweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Marlon Vera,Charles Jourdain,http://www.ufcstats.com/fighter-details/7c7332319c14094c,http://www.ufcstats.com/fighter-details/f1d64ae34e088832,Bantamweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Tai Tuivasa,Robelis Despaigne,http://www.ufcstats.com/fighter-details/c62fbc117d57b943,http://www.ufcstats.com/fighter-details/140567899d98978a,Heavyweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Edmen Shahbazyan,Brunno Ferreira,http://www.ufcstats.com/fighter-details/4144798612ef96e5,http://www.ufcstats.com/fighter-details/1e719d4b676dc19a,Middleweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Giga Chikadze,Joanderson Brito,http://www.ufcstats.com/fighter-details/9560ff14eb3129f7,http://www.ufcstats.com/fighter-details/791c8437b341fba5,Featherweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Casey O'Neill,Eduarda Moura,http://www.ufcstats.com/fighter-details/04835018f90b118c,http://www.ufcstats.com/fighter-details/de594b35c45c2e9a,Women's Flyweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Ryan Gandra,Ozzy Diaz,http://www.ufcstats.com/fighter-details/e463ce0a2ca474f4,http://www.ufcstats.com/fighter-details/6967153c7edb4d87,Middleweight
UFC 331: Van vs. Pantoja 2,"September 19, 2026","Los Angeles, California, USA",Michael Aswell Jr.,JooSang Yoo,http://www.ufcstats.com/fighter-details/01c9e4013afce141,http://www.ufcstats.com/fighter-details/a44020ea2e8cd026,Featherweight
